Drug,ADR_all,ADR_top5,Quality,Fold
галавит,,,хороший,2
ксимелин детский,,,хороший,2
регулакс пикосульфат,Снижение артериального давления; Головокружение; Астения; Холодный пот; Боль в верхних отделах живота; Боль в животе,Снижение артериального давления; Головокружение; Астения; Холодный пот; Боль в верхних отделах живота,"плохой, частые побочные реакции",5
рапидол,,,хороший,3
гипертония стоп,,,хороший,1
кардиофит настойка,,,хороший,4
кардио-микс,,,хороший,3
флюколд,Сомнолентность; Передозировка; Сердцебиение; Головная боль; Боль в верхних отделах живота; Тошнота; Дисгевзия,Сомнолентность; Передозировка; Сердцебиение; Головная боль; Боль в верхних отделах живота,плохой,2
арлеверт,Снижение артериального давления; Головокружение; Сомнолентность; Усталость; Ступор,Снижение артериального давления; Головокружение; Сомнолентность; Усталость; Ступор,"плохой, частые побочные реакции",5
сонапакс,Одышка; Астения; Головокружение; Гиперсомния; Заложенность носа; Увеличение веса; Эпистаксис,Одышка; Астения; Головокружение; Гиперсомния; Заложенность носа,плохой,1
герпевир,,,хороший,5
зомиг,Абузусная головная боль,Абузусная головная боль,плохой,3
полифепан,Боль в животе,Боль в животе,"плохой, частые побочные реакции",2
аципол,Боль в животе; Диарея; Абдоминальный дискомфорт,Боль в животе; Диарея; Абдоминальный дискомфорт,"плохой, частые побочные реакции",4
heplex breath,,,"плохой, не помогает",2
эспол,Боль кожных покровов; Эритема; Приливы крови; Ожог в месте применения,Боль кожных покровов; Эритема; Приливы крови; Ожог в месте применения,"плохой, частые побочные реакции",2
ангримакс,Сомнолентность,Сомнолентность,"плохой, не помогает",4
пиковит,"Гиперчувствительность; Эритема; Сыпь, эритематозная; Гиперчувствительность к лекарственному препарату","Гиперчувствительность; Эритема; Сыпь, эритематозная; Гиперчувствительность к лекарственному препарату",плохой,1
гастрацид,Рвота; Запор; Тошнота; Остеомаляция,Рвота; Запор; Тошнота; Остеомаляция,"плохой, частые побочные реакции",3
оралсепт,"Тошнота; Гиперчувствительность; Сыпь, макулезная","Тошнота; Гиперчувствительность; Сыпь, макулезная","плохой, частые побочные реакции",4
ингалипт,Тошнота; Боль; Гипестезия глотки; Гиперсекреторное слезоотделение,Тошнота; Боль; Гипестезия глотки; Гиперсекреторное слезоотделение,"хороший, но есть побочные реакции",2
стрептоцид,Тошнота; Нарушение со стороны печени; Боль кожных покровов,Тошнота; Нарушение со стороны печени; Боль кожных покровов,"плохой, частые побочные реакции",2
стрепсилс,Тошнота,Тошнота,"плохой, не помогает",4
клион-д,Боль; Чувство жжения; Патология желудка,Боль; Чувство жжения; Патология желудка,плохой,2
тержинан,Абдоминальный дискомфорт; Поллакиурия; Нежелательная лекарственная реакция; Чувство жжения,Абдоминальный дискомфорт; Поллакиурия; Нежелательная лекарственная реакция; Чувство жжения,"плохой, не помогает",5
тайлол хот,,,хороший,2
глево,Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность; Мурашки по коже; Мышечные спазмы; Астения; Головокружение; Бессонница; Головная боль,Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность,плохой,2
трентал,Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность; Мурашки по коже; Мышечные спазмы; Головная боль,Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность,"плохой, не помогает",1
нейромультивит,Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность; Мурашки по коже; Мышечные спазмы; Астения; Нарушение засыпания,Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность,"плохой, не помогает",2
ксефокам,Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность; Мурашки по коже; Мышечные спазмы,Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность,плохой,2
нейробион,Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность; Мурашки по коже; Мышечные спазмы,Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность,плохой,3
нольпаза,Диспепсия; Головная боль; Боль в верхних отделах живота; Головокружение; Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность; Мурашки по коже; Мышечные спазмы; Паническая атака; Недомогание; Дискомфорт в эпигастральной области; Тремор; Ощущение холода; Дискомфорт; Патология желудочно-кишечного тракта; Помутнение в поле зрения; Повышение артериального давления; Абдоминальный дискомфорт; Тошнота,Диспепсия; Головная боль; Боль в верхних отделах живота; Головокружение; Гипестезия,"плохой, частые побочные реакции",3
диклофенак,Боль в верхних отделах живота; Боль; Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность; Мурашки по коже; Мышечные спазмы; Тошнота; Сердцебиение; Боль в животе; Дискомфорт; Патология желудочно-кишечного тракта; в животе как будто все воспалилось; сорвала кишечник; Диарея; Тиннитус; Бессонница; Боль кожных покровов; Приливы крови; очень сильно влияет на обменные процессы; Исажения при проведении лабораторных исследований; Нарушение гормонального уровня; Нарушение со стороны печени; Желудочно-кишечная боль; Патология желудка,Боль в верхних отделах живота; Боль; Гипестезия; Боль со стороны спины; Нарушение походки,"плохой, частые побочные реакции",4
простамол,Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность; Мурашки по коже; Мышечные спазмы,Гипестезия; Боль со стороны спины; Нарушение походки; Боль в конечности; Скелетно-мышечная скованность,плохой,3
фенилэфрин,,,хороший,4
хлорфенамин,,,хороший,1
канадский йогурт,"Гиперчувствительность; Инфекция, обусловленная грибами рода Candida; Зуд","Гиперчувствительность; Инфекция, обусловленная грибами рода Candida; Зуд","плохой, частые побочные реакции",3
гинофлор,"Гиперчувствительность; Инфекция, обусловленная грибами рода Candida; Зуд","Гиперчувствительность; Инфекция, обусловленная грибами рода Candida; Зуд","плохой, частые побочные реакции",4
вагинорм-с,"Раздражение в месте применения; Зуд; Чувство жжения; Зуд, генитальный; Боль внизу живота; Вагинальные выделения","Раздражение в месте применения; Зуд; Чувство жжения; Зуд, генитальный; Боль внизу живота","плохой, частые побочные реакции",4
билобил форте,Патология желудка; Головная боль; Сомнолентность; Нервозность; Раздражительность; Плохое самочувствие,Патология желудка; Головная боль; Сомнолентность; Нервозность; Раздражительность,плохой,2
риопан,Диарея,Диарея,"плохой, частые побочные реакции",4
фурадонин,Тошнота; Головная боль; Сомнолентность; Снижение уровня сознания; Боль со стороны спины; Дискомфорт; Боль в верхних отделах живота,Тошнота; Головная боль; Сомнолентность; Снижение уровня сознания; Боль со стороны спины,плохой,5
турбухалер-симбикорт,Ощущение холода; Дисгевзия,Ощущение холода; Дисгевзия,плохой,4
беродуал,Ощущение холода; Дисгевзия; Тремор; Чувство опьянения; Головокружение; Сердцебиение; Зависимость; Дискомфорт в голове; Бронхоспазм; Раздражение горла; Зуд в носу; Тошнота,Ощущение холода; Дисгевзия; Тремор; Чувство опьянения; Головокружение,"плохой, частые побочные реакции",4
сальбутамол,Ощущение холода; Дисгевзия; Кашель; Сухость во рту,Ощущение холода; Дисгевзия; Кашель; Сухость во рту,"плохой, частые побочные реакции",2
беротеком,Ощущение холода; Дисгевзия,Ощущение холода; Дисгевзия,плохой,1
фервекс,Паническая реакция; Страх; Гиперчувствительность; Сомнолентность,Паническая реакция; Страх; Гиперчувствительность; Сомнолентность,"хороший, но есть побочные реакции",2
тималин,,,"плохой, не помогает",1
эуфиллин,"Сомнолентность; Умственная усталость; Проблема, связанная с обучением","Сомнолентность; Умственная усталость; Проблема, связанная с обучением",плохой,4
кетотифен,"Сомнолентность; Умственная усталость; Проблема, связанная с обучением","Сомнолентность; Умственная усталость; Проблема, связанная с обучением",плохой,4
арбидол максимум,Головокружение,Головокружение,"хороший, но есть побочные реакции",4
лоперамид,Запор; Абдоминальный дискомфорт; Боль в верхних отделах живота,Запор; Абдоминальный дискомфорт; Боль в верхних отделах живота,"плохой, частые побочные реакции",1
хьюмер,,,хороший,1
индапамид,Снижение артериального давления; Снижение уровня калия в крови; Одышка; Астения; Плохое самочувствие; что в свою очередь может привести к проблемам с сердцем; Колебания артериального давления; Расстройство регуляции вегетативной нервной системы; Повышение артериального давления; Жажда,Снижение артериального давления; Снижение уровня калия в крови; Одышка; Астения; Плохое самочувствие,"плохой, частые побочные реакции",4
эналаприл,Снижение артериального давления; Кашель; Одышка; Астения; Плохое самочувствие; Сомнолентность; Повышение уровня глюкозы в крови; Сухость во рту; Полиурия; Нарушение походки,Снижение артериального давления; Кашель; Одышка; Астения; Плохое самочувствие,"плохой, частые побочные реакции",1
рутин,Головокружение; Гиперчувствительность; Сомнолентность,Головокружение; Гиперчувствительность; Сомнолентность,"плохой, частые побочные реакции",2
пентафлуцин,Головокружение; Гиперчувствительность,Головокружение; Гиперчувствительность,"хороший, но есть побочные реакции",1
хиберикс,,,хороший,1
панадол,"Кожное раздражение; Сыпь, макулезная; Отрыжка","Кожное раздражение; Сыпь, макулезная; Отрыжка",плохой,3
катадолон,Вялость; Сомнолентность; Боль; очень сильно влияет на обменные процессы; Исажения при проведении лабораторных исследований; Нарушение гормонального уровня; Нарушение со стороны печени,Вялость; Сомнолентность; Боль; очень сильно влияет на обменные процессы; Исажения при проведении лабораторных исследований,плохой,1
экстракт алоэ жидкий,,,хороший,5
витамин а,,,хороший,1
мексидол,Сомнолентность; Плач; Головокружение; Абстинентный синдром; Бессонница,Сомнолентность; Плач; Головокружение; Абстинентный синдром; Бессонница,"плохой, частые побочные реакции",5
сульсен,Кожное раздражение,Кожное раздражение,"плохой, частые побочные реакции",5
отривин,Зависимость; Головная боль; Дискомфорт; Одышка; Зависимость от психоактивных веществ/лекарственных препаратов,Зависимость; Головная боль; Дискомфорт; Одышка; Зависимость от психоактивных веществ/лекарственных препаратов,плохой,2
преднизолон,"Сыпь, макулезная; Гиперчувствительность; Отек лица; Увеличение веса; Усиление аппетита; Повышение уровня глюкозы в крови; Расстройство зрения; Аффективная лабильность; Даже легкие раны очень медленно заживают; Депрессия; Остеонекроз; Снижение уровня калия в крови; Патология желудочно-кишечного тракта; Перепады настроения; Тахикардия; Угри; Нарушение со стороны иммунной системы; Себорея; Плач; Расстройство личности; Кожные стрии; Костная денситометрия","Сыпь, макулезная; Гиперчувствительность; Отек лица; Увеличение веса; Усиление аппетита","плохой, частые побочные реакции",5
вибуркол,,,хороший,1
лемсип макс,Сомнолентность,Сомнолентность,"плохой, частые побочные реакции",4
санвал,Зависимость; Дискомфорт в голове; Переносимость препарата,Зависимость; Дискомфорт в голове; Переносимость препарата,"плохой, частые побочные реакции",5
прогестерона,"Настроение измененное; Болезненная чувствительность молочных желез; Чувство угнетения; Пигментация, нарушение; Боль в месте инъекции; Гематома","Настроение измененное; Болезненная чувствительность молочных желез; Чувство угнетения; Пигментация, нарушение; Боль в месте инъекции","плохой, частые побочные реакции",2
шиповника сироп,,,хороший,3
гриппофлю экстра,,,хороший,5
люголь,Нарушение со стороны печени; Стеноз гортани; Аллергия на йод; Асфиксия; Ангиоотек; Раздражение горла; Тошнота,Нарушение со стороны печени; Стеноз гортани; Аллергия на йод; Асфиксия; Ангиоотек,"плохой, частые побочные реакции",2
варилрикс,Психомоторная гиперактивность; Боль в месте инъекции; Непереносимость препарата; Нарушение походки; Ощущение холода; Плач; Бессонница,Психомоторная гиперактивность; Боль в месте инъекции; Непереносимость препарата; Нарушение походки; Ощущение холода,плохой,2
трихопол,Абдоминальный дискомфорт; Изменение окраски зуба; Сыпь; Рвота; Снижение аппетита; Нарушение со стороны печени; Тошнота; Гипогидроз; Сомнолентность; Зубной кариес; Нарушение внимания,Абдоминальный дискомфорт; Изменение окраски зуба; Сыпь; Рвота; Снижение аппетита,"плохой, частые побочные реакции",3
цифран,Снижение аппетита; Тошнота; Боль в животе; Дисгевзия,Снижение аппетита; Тошнота; Боль в животе; Дисгевзия,"плохой, частые побочные реакции",1
сумамед форте,Дисгевзия; Нарушение со стороны печени,Дисгевзия; Нарушение со стороны печени,"плохой, частые побочные реакции",5
бадяга форте,Кожный зуд в месте применения; Зуд; Эритема; Приливы крови,Кожный зуд в месте применения; Зуд; Эритема; Приливы крови,"плохой, частые побочные реакции",5
нистатиновая мазь,,,хороший,2
нистатин,,,хороший,1
альтабор,,,хороший,5
доктор мом,,,хороший,2
"базирон ас"" 5%",Кожное раздражение; Химический ожог кожи,Кожное раздражение; Химический ожог кожи,"плохой, частые побочные реакции",3
диазолин,Сомнолентность; Усталость; Головокружение; Раздражение стенки желудочно-кишечного тракта; Сухость во рту; Отек; Периферический отек; Гиперчувствительность,Сомнолентность; Усталость; Головокружение; Раздражение стенки желудочно-кишечного тракта; Сухость во рту,"плохой, частые побочные реакции",5
галстен,Усталость; Головокружение; Раздражение стенки желудочно-кишечного тракта; Сомнолентность; Сухость во рту; Боль в животе,Усталость; Головокружение; Раздражение стенки желудочно-кишечного тракта; Сомнолентность; Сухость во рту,"плохой, частые побочные реакции",4
винпотропил,Тахикардия; Нежелательная лекарственная реакция; Ажитация; Недомогание; Головокружение; Головная боль,Тахикардия; Нежелательная лекарственная реакция; Ажитация; Недомогание; Головокружение,плохой,3
кровохлебки корневища и корни,,,"плохой, не помогает",4
оциллококцинум,,,"плохой, не помогает",4
железо,Запор; Раздражение стенки желудочно-кишечного тракта; Боль; Боль в животе,Запор; Раздражение стенки желудочно-кишечного тракта; Боль; Боль в животе,"плохой, частые побочные реакции",5
фолиевая кислота,Запор; Раздражение стенки желудочно-кишечного тракта; Боль; Боль в животе,Запор; Раздражение стенки желудочно-кишечного тракта; Боль; Боль в животе,"плохой, частые побочные реакции",5
ферретаб,Запор; Раздражение стенки желудочно-кишечного тракта; Боль; Боль в животе; Дисгевзия,Запор; Раздражение стенки желудочно-кишечного тракта; Боль; Боль в животе; Дисгевзия,"плохой, частые побочные реакции",3
почечный сбор,плохо влияет на почки; Почечная колика; песок в почках; пострадать почки,плохо влияет на почки; Почечная колика; песок в почках; пострадать почки,"плохой, частые побочные реакции",5
вернисон,,,"плохой, не помогает",2
ferrer нуклео ц.м.ф. форте,,,"плохой, не помогает",2
кестина,Крапивница; Гиперчувствительность; Сыпь,Крапивница; Гиперчувствительность; Сыпь,плохой,1
иберогаст,Крапивница; Гиперчувствительность; Сыпь; Голод; Диспепсия; Боль в животе,Крапивница; Гиперчувствительность; Сыпь; Голод; Диспепсия,плохой,3
боярышник,Сомнолентность; Недомогание; Головная боль; Усталость,Сомнолентность; Недомогание; Головная боль; Усталость,"хороший, но есть побочные реакции",2
изотроин 20,Сухая кожа; сильные высыпания,Сухая кожа; сильные высыпания,"плохой, частые побочные реакции",2
амитриптилина гидрхлорид,Сомнолентность; Увеличение веса; Состояние спутанности сознания; Колебания артериального давления; Зависимость; Головокружение; Отечность,Сомнолентность; Увеличение веса; Состояние спутанности сознания; Колебания артериального давления; Зависимость,"плохой, частые побочные реакции",1
максиколд,,,хороший,5
амизон макс,Боль в печени; Гиперчувствительность; Дисгевзия; Рвота,Боль в печени; Гиперчувствительность; Дисгевзия; Рвота,плохой,1
антифлу,Сомнолентность; Гиперчувствительность; Расстройство сна,Сомнолентность; Гиперчувствительность; Расстройство сна,"хороший, но есть побочные реакции",4
хьюмекс,,,хороший,4
фармазолин,Переносимость препарата,Переносимость препарата,"плохой, частые побочные реакции",5
мильгамма,Эритема; Угри,Эритема; Угри,плохой,3
сироп шиповника,,,хороший,3
l-тироксин берлин-хеми,Тахикардия,Тахикардия,плохой,3
атаракс,Сомнолентность; Агрессия; Бессонница; Апатия; Плохое самочувствие; Дискомфорт в голове; Недомогание; Недостаточность сна; Астения,Сомнолентность; Агрессия; Бессонница; Апатия; Плохое самочувствие,плохой,3
биоарон с,"Сыпь, макулезная; Гиперчувствительность","Сыпь, макулезная; Гиперчувствительность","плохой, не помогает",5
ирифрин,Боль кожных покровов,Боль кожных покровов,плохой,1
громецин,,,"плохой, не помогает",4
тенториум,Бронхит; Ринит; Синусит; Ларингит,Бронхит; Ринит; Синусит; Ларингит,плохой,4
лавакол,Сенсорное расстройство; Флатуленция; Тошнота; Болезненные позывы к дефекации; Дискомфорт в аноректальной области; Увеличение веса; Запор; Рвота; Отек,Сенсорное расстройство; Флатуленция; Тошнота; Болезненные позывы к дефекации; Дискомфорт в аноректальной области,"плохой, частые побочные реакции",2
флит,Сенсорное расстройство; Флатуленция; Тошнота; Болезненные позывы к дефекации,Сенсорное расстройство; Флатуленция; Тошнота; Болезненные позывы к дефекации,плохой,5
мебикар ic,,,хороший,4
экспортал,Вздутие живота; Периферический отек,Вздутие живота; Периферический отек,плохой,4
азибиот,Вялость; Усталость; Сомнолентность; Тошнота,Вялость; Усталость; Сомнолентность; Тошнота,"плохой, частые побочные реакции",5
ибупрофен,Боль в верхних отделах живота; Патология желудка; Гиперчувствительность; Сыпь; Гиперчувствительность к лекарственному препарату; Абдоминальный дискомфорт,Боль в верхних отделах живота; Патология желудка; Гиперчувствительность; Сыпь; Гиперчувствительность к лекарственному препарату,"плохой, частые побочные реакции",1
аевит,"Гиперчувствительность; Зуд; Фотодерматоз; сыпь на открытых участках кожи: лице, шее, груди","Гиперчувствительность; Зуд; Фотодерматоз; сыпь на открытых участках кожи: лице, шее, груди","плохой, частые побочные реакции",3
нюду,Тремор; Боль кожных покровов; Гиперчувствительность,Тремор; Боль кожных покровов; Гиперчувствительность,"плохой, частые побочные реакции",2
пара плюс,Тремор; Боль кожных покровов; Гиперчувствительность,Тремор; Боль кожных покровов; Гиперчувствительность,"плохой, частые побочные реакции",5
ксилометазолин,Сухость в носу; Эритема; Зуд; Заложенность носа; Отек носовых пазух; Абстинентный синдром; Переносимость препарата; Ринорея; Чувство жжения,Сухость в носу; Эритема; Зуд; Заложенность носа; Отек носовых пазух,"плохой, частые побочные реакции",2
лазолван,Дискомфорт в носу,Дискомфорт в носу,плохой,4
гидрокортизон,Боль в месте применения; Угри; Нарушение со стороны поджелудочной железы,Боль в месте применения; Угри; Нарушение со стороны поджелудочной железы,"плохой, частые побочные реакции",3
валосердин,Сомнолентность,Сомнолентность,"плохой, не помогает",3
лисобакт,Нарушение речи; Воспаление глотки; Асфиксия; Парестезия глотки,Нарушение речи; Воспаление глотки; Асфиксия; Парестезия глотки,плохой,2
perfectil,Тошнота; Диспепсия,Тошнота; Диспепсия,"плохой, частые побочные реакции",1
мирамистина,,,хороший,4
vicks active sinex,Переносимость препарата,Переносимость препарата,"плохой, частые побочные реакции",1
трависилом,,,"плохой, не помогает",3
strepsils,Стоматит; Припухлость рта; Эритема слизистой оболочки ротовой полости; Сенсорное расстройство; Дискомфорт в ротовой полости; Эксфолиация кожи; Изъязвление в полости рта; Гипестезия полости рта,Стоматит; Припухлость рта; Эритема слизистой оболочки ротовой полости; Сенсорное расстройство; Дискомфорт в ротовой полости,плохой,2
уролесан,Желудочно-кишечная боль; Патология желудка; Тошнота,Желудочно-кишечная боль; Патология желудка; Тошнота,плохой,5
темпалгин,Головная боль,Головная боль,"плохой, частые побочные реакции",3
флуконазол,Смерть; Желтуха; Гепатит; Изменение цвета кожи; Нарушение со стороны печени; Колебания артериального давления; Боль; Головная боль; Головокружение; Продуктивный кашель; Боль в животе; Запор; Флатуленция; Ощущение инородного тела; Тошнота,Смерть; Желтуха; Гепатит; Изменение цвета кожи; Нарушение со стороны печени,плохой,4
дифлюкан,Смерть; Желтуха; Гепатит; Изменение цвета кожи; Нарушение со стороны печени; Колебания артериального давления; Боль; Головная боль; Головокружение; Продуктивный кашель; Боль в животе; Запор; Флатуленция; Ощущение инородного тела; Тошнота,Смерть; Желтуха; Гепатит; Изменение цвета кожи; Нарушение со стороны печени,плохой,4
нобен,Головная боль; Нарушение засыпания,Головная боль; Нарушение засыпания,"хороший, но есть побочные реакции",3
альтевир,Гиперчувствительность; Зуд; Повышенная температура тела; Пирексия; Головная боль; Депрессия; Безразличие; Повышение артериального давления; Настроение измененное; Апатия; Расстройство сна,Гиперчувствительность; Зуд; Повышенная температура тела; Пирексия; Головная боль,"плохой, частые побочные реакции",3
кофеин бензоат натрия,Боль в месте инъекции; Гематома в месте инъекции; Бессонница; Паническая реакция; Мечтательность; Тремор; Гипергидроз; Сердечно-сосудистая патология,Боль в месте инъекции; Гематома в месте инъекции; Бессонница; Паническая реакция; Мечтательность,"плохой, частые побочные реакции",3
облепиховое масло,Психомоторная гиперактивность; Сердцебиение; Расстройство зрения; Дискомфорт в аноректальной области; Мышечные спазмы,Психомоторная гиперактивность; Сердцебиение; Расстройство зрения; Дискомфорт в аноректальной области; Мышечные спазмы,"плохой, частые побочные реакции",1
красавки экстракт,Психомоторная гиперактивность; Сердцебиение; Расстройство зрения; Дискомфорт в аноректальной области; Мышечные спазмы,Психомоторная гиперактивность; Сердцебиение; Расстройство зрения; Дискомфорт в аноректальной области; Мышечные спазмы,"плохой, частые побочные реакции",2
меласон,,,хороший,1
бондормин,,,хороший,3
нейрофулол,Паническая реакция; Зуд; проблемы с ЖКХ; Паранойя; Бессонница,Паническая реакция; Зуд; проблемы с ЖКХ; Паранойя; Бессонница,плохой,4
зорекс,Изъязвление в полости рта; Зуд; Припухлость губ; Гиперчувствительность,Изъязвление в полости рта; Зуд; Припухлость губ; Гиперчувствительность,"плохой, частые побочные реакции",1
сингуляр,Низкое качество сна; Кошмары; Стенание; Нервозность,Низкое качество сна; Кошмары; Стенание; Нервозность,плохой,1
папазол,Гиперчувствительность,Гиперчувствительность,"плохой, частые побочные реакции",2
кора дуба,,,хороший,1
тысячелистника трава,,,хороший,2
одуванчика лекарственного трава,,,хороший,1
хвоща трава,,,хороший,2
гексорал,Боль; Гипестезия глотки; Гиперсекреторное слезоотделение,Боль; Гипестезия глотки; Гиперсекреторное слезоотделение,плохой,5
метипред,Увеличение веса; Дисгевзия; Аффективная лабильность; Даже легкие раны очень медленно заживают; Депрессия; Остеонекроз; Снижение уровня калия в крови; Патология желудочно-кишечного тракта; Перепады настроения; Тахикардия; Угри; Нарушение со стороны иммунной системы; Себорея; Плач; Расстройство личности; Кожные стрии; Костная денситометрия,Увеличение веса; Дисгевзия; Аффективная лабильность; Даже легкие раны очень медленно заживают; Депрессия,"плохой, частые побочные реакции",3
травопассит,,,"плохой, не помогает",5
аллопуринол,Диарея; Тошнота; Боль в животе,Диарея; Тошнота; Боль в животе,плохой,4
леркамен,Одышка; Сердцебиение; Отек,Одышка; Сердцебиение; Отек,"плохой, частые побочные реакции",3
регецин,Сухая кожа; Гиперчувствительность; Угри,Сухая кожа; Гиперчувствительность; Угри,"плохой, частые побочные реакции",1
ацц,Гиперчувствительность; Одышка; Бронхоспазм; плохо влияет на слизистые ткани органов пищеварения; Боль в верхних отделах живота; Повышение уровня гастрина в крови; страдает желудок; Крапивница; Зуд; Диспепсия,Гиперчувствительность; Одышка; Бронхоспазм; плохо влияет на слизистые ткани органов пищеварения; Боль в верхних отделах живота,плохой,5
кардонат,Снижение рН желудка,Снижение рН желудка,"хороший, но есть побочные реакции",5
полисорб мп,Вялость; Ощущение жара; Сухость во рту,Вялость; Ощущение жара; Сухость во рту,плохой,3
жанин,Головная боль; Вздутие живота; Плохое самочувствие; Влагалищное кровоизлияние,Головная боль; Вздутие живота; Плохое самочувствие; Влагалищное кровоизлияние,плохой,4
визанна,Головная боль; Вздутие живота; Плохое самочувствие; Влагалищное кровоизлияние; Снижение либидо; Перепады настроения; Боль в грудной клетке; Аменорея; Менструальное нарушение; Нарушение со стороны вен; Увеличение веса; Увеличение молочных желез; Сыпь; Усиление аппетита; Отсутствие либидо; Угри; Кровоизлияние; Раздражительность; Боль в конечности; Нервозность,Головная боль; Вздутие живота; Плохое самочувствие; Влагалищное кровоизлияние; Снижение либидо,"плохой, частые побочные реакции",3
