indication,drugs,drugs_top5,drugs_best,fold
Дисгевзия,панавир; панавир инлайт,панавир; панавир инлайт,нет хороших лекарств,3
Пятно,пимафукорт,пимафукорт,нет хороших лекарств,5
Эксфолиация кожи,perfectil; пантенол; panthenol forte с каротином; пимафукорт; тридерм; кандид б,perfectil; пантенол; panthenol forte с каротином; пимафукорт; тридерм,нет хороших лекарств,4
Кожные трещины,тридерм; дуовит; пантенол; panthenol forte с каротином,тридерм; дуовит; пантенол; panthenol forte с каротином,нет хороших лекарств,5
Инфекция женских половых органов,кипферон; виферон; макмирор; клотримазол,кипферон; виферон; макмирор; клотримазол,макмирор,4
Предменструальный синдром,валериана; тенотен; персен; ново-пассит; афобазол,валериана; тенотен; персен; ново-пассит; афобазол,нет хороших лекарств,1
Дермальная киста,омепразол,омепразол,нет хороших лекарств,3
Отечность,фуросемид; омепразол; ирс 19; димедрол; називин; ринофлуимуцил; виброцил; лемсип лимон; ринза; парацетомол; анальгин; антигриппин анви; ацетилсалициловая кислота; аскорбиновая кислота; кальция глюконат; максиколд рино; цетрилев; супрастин; настойку корня аира; настойка прополиса; флуомизин; полижинакс; цераксон; лидокаин,фуросемид; омепразол; ирс 19; димедрол; називин,парацетомол; кальция глюконат,5
Нагноение,омепразол; амоксиклав,омепразол; амоксиклав,нет хороших лекарств,4
Лимфаденопатия,омепразол; назонекс; флюконазол; ирс 19; перекись водорода; бифидумбактерин; нарине; хилак-форте; линексом; лактофильтрум; доксициклин,омепразол; назонекс; флюконазол; ирс 19; перекись водорода,нет хороших лекарств,3
Рана,солкосерил; бифидумбактерин; нарине; хилак-форте; линексом; лактофильтрум; доксициклин; сульфаргин; стрептоцид; бриллиантовый зеленый; омепразол; тетрациклин; зинат; календула,солкосерил; бифидумбактерин; нарине; хилак-форте; линексом,нет хороших лекарств,2
Плаксивость,афобазол; глицин; киндинорм; тенотен детский; валериана; магне b6; валидол,афобазол; глицин; киндинорм; тенотен детский; валериана,киндинорм,2
Нарушение внимания,кортексин; пантогам; пирацетам; кортексин для детей; новокаин; винпотропил; энцефабол; магне b6; фенибут; фезам; тенотен детский; глицисед; аспирин; аминолоном,кортексин; пантогам; пирацетам; кортексин для детей; новокаин,новокаин,2
Болезненные ощущения,гриппостад; фенистил; фенистил пенцивир; гемороль,гриппостад; фенистил; фенистил пенцивир; гемороль,гриппостад,2
Дисменорея,нимесил; найз; кеторол; нимесулид; гриппостад; персен; ново-пассит; пустырник; валериана; беллатаминал; оки; анальгин,нимесил; найз; кеторол; нимесулид; гриппостад,гриппостад,4
Гипоксия,кальция гопантенат; пирацетам,кальция гопантенат; пирацетам,кальция гопантенат,2
Эмоциональное расстройство,валериана; афобазол; корвалол,валериана; афобазол; корвалол,нет хороших лекарств,4
Гиперкератоз,суперчистотел; доктор пласт; пластырь; лейкопластырь гипоаллергенный silkofix,суперчистотел; доктор пласт; пластырь; лейкопластырь гипоаллергенный silkofix,нет хороших лекарств,4
Вялость,глицин; ингавирин; арбидол; антигриппин; пренатал; галавит; фенилэфрин; хлорфенамин; тофф плюс; парацетамол; терафлю; антифлу; антифлу детский; амиксин; супрастин; орвирем; триджекс; афобазол; грандаксин; немозол; персен; персен форте; семакс,глицин; ингавирин; арбидол; антигриппин; пренатал,галавит; фенилэфрин; хлорфенамин,3
Зуд в губе,ацикловир; ацикловир форте; герпевир; зовиракс,ацикловир; ацикловир форте; герпевир; зовиракс,герпевир; зовиракс,2
Пузырь,ацикловир; ацикловир форте; тридерм; виру-мерц серол; зовиракс; фенистил; фенистил пенцивир,ацикловир; ацикловир форте; тридерм; виру-мерц серол; зовиракс,зовиракс,1
проблем с глазами,классический; визин,классический; визин,нет хороших лекарств,1
Боль в области губы,ацикловир,ацикловир,нет хороших лекарств,1
Паническая атака,гидазепам; флуоксетин; афобазол; паксил; пароксетин; феназепам; корвалол; ноотропил; велаксин; эглонил; глицин; персен; ново-пассит; беллатаминал; стрезам; таваник; бифиформ; клоназепам; кардонат; спитомин,гидазепам; флуоксетин; афобазол; паксил; пароксетин,нет хороших лекарств,1
Нарушение со стороны печени,эссливер форте; эссенциале форте; смекта; урсолив; лактофильтрум; бифиформ; полифепан; аципол; урсофальк; урдокса; урсосан,эссливер форте; эссенциале форте; смекта; урсолив; лактофильтрум,нет хороших лекарств,1
Боязнь публичных выступлений,глицин,глицин,нет хороших лекарств,4
Папиллома,суперчистотел; изопринозин; протефлазид; панавир; чистотел; леккер-суперчистотело,суперчистотел; изопринозин; протефлазид; панавир; чистотел,нет хороших лекарств,5
Гепатит при инфекционном мононуклеозе,ацикловир; изопринозин; иммунофлазид,ацикловир; изопринозин; иммунофлазид,нет хороших лекарств,5
Кожное раздражение,оксолин; аквалор беби; аквалор; ромашка,оксолин; аквалор беби; аквалор; ромашка,нет хороших лекарств,2
Церебральная вазоконстрикция,танакан,танакан,танакан,2
Дискомфорт в голове,фенибут; нообут ic; мелатонин; мелаксен; амитриптилин; хелпекс антиколд,фенибут; нообут ic; мелатонин; мелаксен; амитриптилин,нет хороших лекарств,2
проблемы с ЖКТ,фенибут; нообут ic; фосфалюгель; таваник,фенибут; нообут ic; фосфалюгель; таваник,нет хороших лекарств,1
Стенокардия,корвалол; валериана; барбовал; фитосед; кремний; амлодипин; бисопролол; алотендин; натрий; магний; фенобарбитал; милдронат; активированный уголь; йод; пустырник; корвалдин,корвалол; валериана; барбовал; фитосед; кремний,нет хороших лекарств,2
Изменения частоты дефекаций,бисакодил,бисакодил,нет хороших лекарств,4
Удаление зуба,димедрол; амоксициллин; клавулановая кислота; линекс; амоксиклав,димедрол; амоксициллин; клавулановая кислота; линекс; амоксиклав,нет хороших лекарств,4
Отек глотки,аскорбиновая кислота; фармацитрон; парацетамол; фармацитрон форте; антигриппин максимум; антигриппин,аскорбиновая кислота; фармацитрон; парацетамол; фармацитрон форте; антигриппин максимум,нет хороших лекарств,4
Патология спины,диклофенак; мидокалм; эспол; цереблекс; целебрекс,диклофенак; мидокалм; эспол; цереблекс; целебрекс,нет хороших лекарств,4
Боль со стороны спины,ревмалгон; мидокалм; индометацин; мовалис; хондроксид; энтеросгель; ликопид; тавегил; нурофен форте; нурофен; финалгон; пустырник; омепразол; компливит кальций д3; компливит кальций д3 форте; кальцид + магний; апизартрон; амелотекс; кокарнит; хондрогард; прегабалин; капсикам; фексен; флексен; катадолон; диклофенак; artra; артра; эльбона; артру; найз; нимесулид,ревмалгон; мидокалм; индометацин; мовалис; хондроксид,нет хороших лекарств,1
Напряженность мышц,мидокалм,мидокалм,нет хороших лекарств,2
Умственная усталость,глицин,глицин,нет хороших лекарств,4
Снижение аппетита,rainbow light prenatal one; галавит; цераксон; пустырник; пустырника настойка; валериана; стрезам; немозол; аскорутин; витамин с; аскорбиновая кислота; суматриптан; biobran; рексетин,rainbow light prenatal one; галавит; цераксон; пустырник; пустырника настойка,галавит; biobran,4
заболеванием сердца,берлиприл 10,берлиприл 10,нет хороших лекарств,3
Лактостаз,анаферон; анаферон детский,анаферон; анаферон детский,нет хороших лекарств,3
Отек слизистых оболочек,ринофлуимуцил; тонзилгон н; лемсип лимон; нафтизин; ксимелин,ринофлуимуцил; тонзилгон н; лемсип лимон; нафтизин; ксимелин,нет хороших лекарств,4
Корки в носу,натрия хлорид раствор; аквалор беби мягкий душ; назаваль,натрия хлорид раствор; аквалор беби мягкий душ; назаваль,аквалор беби мягкий душ,1
Плач,"корвалол; фиточай ""ключи здоровья; фито-чай; фенибут; афобазол","корвалол; фиточай ""ключи здоровья; фито-чай; фенибут; афобазол","фиточай ""ключи здоровья; фито-чай",1
Поллакиурия,нитроксолин; фитолизин; 5 нок; тринефрон; тринефрон-здоровье,нитроксолин; фитолизин; 5 нок; тринефрон; тринефрон-здоровье,фитолизин,1
Дизурия,нитроксолин; фитолизин; 5 нок; hydrocortisone; визин; гидрокортизон; ацикловир; ацикловир форте,нитроксолин; фитолизин; 5 нок; hydrocortisone; визин,фитолизин,3
Тиннитус,кавинтон; кавинтон форте; пирацетам; анвимакс; ноотропил; глиатилин; винпоцетин; zolmigren; золмигрен,кавинтон; кавинтон форте; пирацетам; анвимакс; ноотропил,нет хороших лекарств,2
Задержка развития,клексан; кортексин для детей; новокоине; кортексин,клексан; кортексин для детей; новокоине; кортексин,новокоине,3
Гематома,бадяга; бадяга форте; ай-болит; гепариновая мазь; 911 бадяга; тетрациклин; бадяга иван чай,бадяга; бадяга форте; ай-болит; гепариновая мазь; 911 бадяга,ай-болит; 911 бадяга,1
Патология желудка,нольпаза; ингавирин; кестина; иберогаст; мезим; лофлатил; лоперамид; париет; пантовигар; триовит; фосфалюгель; таваник; омепразол; флемоклав солютаб; ксимелин; мукофальк; разо; ребагит; омез; флемоксин; эзолонг; трикасайд; анаприлин; тромбо асс; курантил; вессел дуэ ф,нольпаза; ингавирин; кестина; иберогаст; мезим,лофлатил,3
Менструальное нарушение,дюфастон; мамитон; эндолутена; женолутен; метипред; агалатес; джаз; джаз плюс; меркурид; глицин; бромокриптин; фемостон; диециклен,дюфастон; мамитон; эндолутена; женолутен; метипред,меркурид,3
Тошнота,атоксил; церукал; меркурид; пустырник; пустырника настойка; валериана; антигриппин анви; мезим; лофлатил; лоперамид; мелаксен; урсофальк; клоназепам; гедозепаму; сульпирид; амиксин; антигриппин; найз; нурофен; мифепристона; мизопростола; анальгин; нексиум; урдокса; платифиллина; дузофарм,атоксил; церукал; меркурид; пустырник; пустырника настойка,меркурид; лофлатил,3
Мечтательность,пирацетам; ноотропил; мексидол,пирацетам; ноотропил; мексидол,нет хороших лекарств,2
Нарушение координации,пирацетам; кортексин; клоназепам,пирацетам; кортексин; клоназепам,нет хороших лекарств,3
Нарушение аутистического спектра,цераксон,цераксон,нет хороших лекарств,5
Тремор,валериана; глицин; глицин форте; феназепам; клоназепам; церепро,валериана; глицин; глицин форте; феназепам; клоназепам,нет хороших лекарств,2
Травма сустава,фастум гель; матарен плюс; терафлекс,фастум гель; матарен плюс; терафлекс,нет хороших лекарств,4
Растяжение связки,нанопласт; эспол; пантенол; фастум гель; матарен плюс; алмагель; диклофенак; смекта; но-шпа,нанопласт; эспол; пантенол; фастум гель; матарен плюс,нет хороших лекарств,1
Агрессия,глицин; персен; афобазол; леривон; глицисед; акатинол мемантин; мемантина акатинола,глицин; персен; афобазол; леривон; глицисед,нет хороших лекарств,2
Ушная боль,нурофен для детей; нурофен; ципролет; доларен,нурофен для детей; нурофен; ципролет; доларен,нет хороших лекарств,5
Нарушение работоспособности,пирацетам; флуоксетин; флу; фенибут; милдронат; глицин; пустырник; суматриптан,пирацетам; флуоксетин; флу; фенибут; милдронат,нет хороших лекарств,4
Травма головного мозга,пирацетам,пирацетам,нет хороших лекарств,4
Чувство стеснения в горле,анвимакс,анвимакс,нет хороших лекарств,3
Мадароз,касторовое масло,касторовое масло,нет хороших лекарств,5
Психотическое расстройство,трифтазин; хлорпротиксен; глицин; ново-пассит; глицин форте,трифтазин; хлорпротиксен; глицин; ново-пассит; глицин форте,нет хороших лекарств,4
Галлюцинация,трифтазин; галоперидол; сероквель; циклодол; акатинол мемантин; мемантина акатинола; рексетин,трифтазин; галоперидол; сероквель; циклодол; акатинол мемантин,нет хороших лекарств,1
Аносмия,ринофлуимуцил; виброцил; називин; галазолин,ринофлуимуцил; виброцил; називин; галазолин,нет хороших лекарств,3
Подергивание мышц,ацикловир; пантогам,ацикловир; пантогам,нет хороших лекарств,2
Дискомфорт в носу,антигриппин; ингавирин; арбидол; бальзам золотая звезда; гриппферон; ринорус,антигриппин; ингавирин; арбидол; бальзам золотая звезда; гриппферон,нет хороших лекарств,2
Дисфункция навыков мелкой моторики,кортексин,кортексин,нет хороших лекарств,2
Патология десен,эхинацея; эхинацеи настойка,эхинацея; эхинацеи настойка,нет хороших лекарств,5
Неинфекционный гингивит,эхинацея; эхинацеи настойка; настойку корня аира; настойка прополиса,эхинацея; эхинацеи настойка; настойку корня аира; настойка прополиса,нет хороших лекарств,5
воспалительные,эхинацея; эхинацеи настойка,эхинацея; эхинацеи настойка,нет хороших лекарств,2
Индукция овуляции,клостилбегит; гонадотропин хорионический; хгч; дюфастон,клостилбегит; гонадотропин хорионический; хгч; дюфастон,нет хороших лекарств,3
проблемы с волосами,цинктерал,цинктерал,нет хороших лекарств,4
расстроенной нервной системой,феназепам; пустырника настойка; валериана,феназепам; пустырника настойка; валериана,нет хороших лекарств,3
Дискомфорт в ротовой полости,ациклостад; агерп; ацикловир,ациклостад; агерп; ацикловир,ациклостад; агерп,2
от нарушения сна,сомнол; зопиклон,сомнол; зопиклон,нет хороших лекарств,1
при нарушении сна,сомнол,сомнол,нет хороших лекарств,1
Интрасомническое расстройство,соннат; сомнол; тенотен; тенотен детский; донормил; добранич,соннат; сомнол; тенотен; тенотен детский; донормил,нет хороших лекарств,3
Неусидчивость,"глицин; кортексин; энцефабол; тенотен; тенотен детский; фиточай ""ключи здоровья; фито-чай; кортексин для детей; новокаин; дормикинд; тералиджен",глицин; кортексин; энцефабол; тенотен; тенотен детский,"фиточай ""ключи здоровья; фито-чай; новокаин",4
Беременность,фемибиона; компливит; витрум пренатал форте; витрум пренатал; витрум; femibion natalcare; пренатал; femibion,фемибиона; компливит; витрум пренатал форте; витрум пренатал; витрум,нет хороших лекарств,5
разговаривал,кортексин для детей; кортексин; новокаин,кортексин для детей; кортексин; новокаин,новокаин,2
Сердечно-сосудистая патология,кавинтон; кавинтон форте; бадяга форте; валериана,кавинтон; кавинтон форте; бадяга форте; валериана,нет хороших лекарств,1
Отклонение от нормы результатов исследования функций центральной нервной системы,кавинтон; кавинтон форте,кавинтон; кавинтон форте,нет хороших лекарств,3
расстройства нервной системы,фенибут; валериана,фенибут; валериана,нет хороших лекарств,5
Продуктивный кашель,аскорил; эвкабал бальзам с; эвкабал; ацц; ринзасип с витамином с; ринза; ринзасип; амброксол,аскорил; эвкабал бальзам с; эвкабал; ацц; ринзасип с витамином с,эвкабал бальзам с; эвкабал; ринзасип с витамином с,3
Кожная язва,сульфаргин,сульфаргин,нет хороших лекарств,3
Ссадина кожи,сульфаргин,сульфаргин,нет хороших лекарств,2
Термический ожог,сульфаргин; эреспал,сульфаргин; эреспал,нет хороших лекарств,2
Дисфония,зинат; орвирем; эргоферон,зинат; орвирем; эргоферон,нет хороших лекарств,4
перебил сон,сонмил,сонмил,нет хороших лекарств,1
Укус членистоногого,фенистил пенцивир; фенистил; смекта; аллергозан; тавегил; анаферон; анаферон детский; лоратадин; календула,фенистил пенцивир; фенистил; смекта; аллергозан; тавегил,нет хороших лекарств,1
Инфекционный энтерит,ирс 19,ирс 19,нет хороших лекарств,4
Спинальная боль,найз; нимесулид; тексамен; карипазим; эспол; лирика; трамадол,найз; нимесулид; тексамен; карипазим; эспол,нет хороших лекарств,1
Компрессия нерва,тексамен; найз; меновазин; сирдалуд; мидокалм; триган-д,тексамен; найз; меновазин; сирдалуд; мидокалм,нет хороших лекарств,5
Нарушение гормонального уровня,димиа; ацикловир; гриппферон; интерферон; лидокаин; дюфастон,димиа; ацикловир; гриппферон; интерферон; лидокаин,нет хороших лекарств,4
Менопаузальные симптомы,анжелик; ноофен; фенибут; нообут ic,анжелик; ноофен; фенибут; нообут ic,ноофен,4
"Сыпь, макулезная",ацикловир; ацикловир форте; бадяга форте; дифферин; differin; регецин; орвирем; супрастин; преднизолон; зиртек; смекта; изопринозин; фенистил; фенистил пенцивир; клензит; пантенол; паста цинковая; цинковая мазь; цинковая паста; трихопол; скинорен; бадяга,ацикловир; ацикловир форте; бадяга форте; дифферин; differin,паста цинковая; цинковая мазь; цинковая паста,5
Ангулярный хейлит,панавир,панавир,нет хороших лекарств,3
Отравление,тамифлю; атоксил; atoxil; смекта; кортексин; энцефабол; мезим; лофлатил; лоперамид; амизон; пирацетам; церебролизин; церебролизат,тамифлю; атоксил; atoxil; смекта; кортексин,лофлатил; церебролизин,3
Инфекция желудочно-кишечного тракта,atoxil; смекта; атоксил,atoxil; смекта; атоксил,нет хороших лекарств,3
Невроз,фенибут; глицин; глицин форте; амитриптилина гидрхлорид; эглонил; ноофен; нообут ic; сондокс; стрезам; мезим; лофлатил; лоперамид; клацид; феназепам; доппельгерц актив с магнием и витаминами группы в; хлорпротиксен; корвалол; тенотен детский,фенибут; глицин; глицин форте; амитриптилина гидрхлорид; эглонил,ноофен; лофлатил,2
Чувство жжения,ацикловир; барлитион; актовегин; галидор; фенистил; фенистил пенцивир; эразабан; зовиракс; нитроксолин; 5 нок,ацикловир; барлитион; актовегин; галидор; фенистил,зовиракс,5
Отек кожи,димедрол; анальгин,димедрол; анальгин,нет хороших лекарств,5
Нарушение со стороны слизистой носа,оксолин; ксимелин,оксолин; ксимелин,нет хороших лекарств,2
Ячмень,эхинацея,эхинацея,нет хороших лекарств,4
Уплотнение молочной железы,протефлазид,протефлазид,нет хороших лекарств,1
Боль в верхних отделах живота,омез; но-шпа; валериана; омепразол; карсил; дротаверин; ренни; виснола; de-nol; де-нол; антигриппин; парацетамол; антигриппин анви; гастрацид; гавискон; алмагель; барбовал; гасталом; гастал; мезим; пензитал; кофеин бензоат натрия; креон; метронидазол; нольпаза; разо; ребагит; нимесил; диклофенак,омез; но-шпа; валериана; омепразол; карсил,гасталом; гастал,1
Терминальная бессонница,сонмил,сонмил,нет хороших лекарств,3
Геморрой,прокто-гливенол; галавит; гепариновая мазь; гемороль; релиф,прокто-гливенол; галавит; гепариновая мазь; гемороль; релиф,галавит,3
Апатия,"афобазол; эглонил; галавит; l-тироксин берлин-хеми; сульпирид; nature's way alive для женщин; nature's way, alive; персен; персен форте; пустырник; ацекардол",афобазол; эглонил; галавит; l-тироксин берлин-хеми; сульпирид,галавит; ацекардол,5
двления 120 на 100,валериана; барбовал,валериана; барбовал,нет хороших лекарств,2
Гиповитаминоз,витрум; терафлю; энергия; алфавит энергия; алфавит; витрум беби; кандид б,витрум; терафлю; энергия; алфавит энергия; алфавит,нет хороших лекарств,4
Боль в костях,римантадин; омепразол; компливит кальций д3; компливит кальций д3 форте; кальцид + магний; антигриппин; ингавирин,римантадин; омепразол; компливит кальций д3; компливит кальций д3 форте; кальцид + магний,нет хороших лекарств,1
Истерический психоз,сонапакс,сонапакс,нет хороших лекарств,5
Температура тела,виферон; колдрекс; колдрекс максгрипп; ирс 19,виферон; колдрекс; колдрекс максгрипп; ирс 19,нет хороших лекарств,2
Сухость губ,ацикловир; герпевир,ацикловир; герпевир,герпевир,3
Травма головы,цераксон; зомиг,цераксон; зомиг,нет хороших лекарств,4
Арахноидит,зомиг,зомиг,нет хороших лекарств,1
Раздражение стенки желудочно-кишечного тракта,лактофильтрум; бифиформ; полифепан; аципол,лактофильтрум; бифиформ; полифепан; аципол,нет хороших лекарств,4
"Язва двенадцатиперстной кишки, обструктивная",лактофильтрум; бифиформ; полифепан; аципол,лактофильтрум; бифиформ; полифепан; аципол,нет хороших лекарств,4
Боль в шее,эспол; капсикам; мовалис; глиатилин; master herb; меновазин; спирт,эспол; капсикам; мовалис; глиатилин; master herb,нет хороших лекарств,4
Язва желудка,ренни; гастрацид; вобэнзим,ренни; гастрацид; вобэнзим,нет хороших лекарств,2
Гастрит,ренни; гастрацид; риопан,ренни; гастрацид; риопан,нет хороших лекарств,2
нарушением функции почек,ренни; гастрацид,ренни; гастрацид,нет хороших лекарств,4
Заложенность пазух,оралсепт; амизон; ингалипт; стрептоцид; стрепсилс,оралсепт; амизон; ингалипт; стрептоцид; стрепсилс,нет хороших лекарств,5
Сердечная недостаточность,корвалол; фенобарбитал; корвалдин; энап; эналаприл; эгилок; пустырник; валериана; анаприлин,корвалол; фенобарбитал; корвалдин; энап; эналаприл,нет хороших лекарств,1
Вульвовагинальный кандидоз,канадский йогурт; гинофлор,канадский йогурт; гинофлор,нет хороших лекарств,5
"Отклонение от нормы результатов мазка, неуточненное",вагинорм-с,вагинорм-с,нет хороших лекарств,5
Воспаление верхних дыхательных путей,азитромицин; амоксициллин; тонзилгон н; ингалипт,азитромицин; амоксициллин; тонзилгон н; ингалипт,нет хороших лекарств,1
Асфиксия,лоратадин; эуфиллин; кетотифен; милдронат,лоратадин; эуфиллин; кетотифен; милдронат,нет хороших лекарств,1
больным и нежным желудочно-кишечным трактом,левомицетин; лоперамид,левомицетин; лоперамид,нет хороших лекарств,4
проблеме желудочно-кишечного тракта,левомицетин; лоперамид,левомицетин; лоперамид,нет хороших лекарств,2
Снижение артериального давления,эналаприл; кофеин бензоат натрия; тонгинал; индапамид; фезам,эналаприл; кофеин бензоат натрия; тонгинал; индапамид; фезам,нет хороших лекарств,2
Инфаркт миокарда,индапамид; эналаприл,индапамид; эналаприл,нет хороших лекарств,2
Протрузия межпозвоночного диска,катадолон,катадолон,нет хороших лекарств,1
Гипестезия,мексидол; тиамин; перодоксин; аскорбиновая кислота; компливит; комплигам в; лидокаин; циннаризин; цитрамон,мексидол; тиамин; перодоксин; аскорбиновая кислота; компливит,нет хороших лекарств,4
Гипестезия полости рта,мексидол,мексидол,нет хороших лекарств,3
Температура тела в норме,ринза,ринза,нет хороших лекарств,5
Температура тела ниже нормы,ринза; анаферон; анаферон детский,ринза; анаферон; анаферон детский,нет хороших лекарств,1
Перхоть,сульсен,сульсен,нет хороших лекарств,1
Сухость в горле,амиксин; нафтизин; ксимелин,амиксин; нафтизин; ксимелин,нет хороших лекарств,1
Папиллома кожи,суперчистотел; чистотел; веррукацид; диас супер чистотел; леккер-суперчистотело; изопринозин; панавир,суперчистотел; чистотел; веррукацид; диас супер чистотел; леккер-суперчистотело,нет хороших лекарств,3
Бесплодие у женщин,фемостон; прогестерона; дюфастон; овариамин,фемостон; прогестерона; дюфастон; овариамин,нет хороших лекарств,3
Бесплодие,прогестерона; фемостон,прогестерона; фемостон,нет хороших лекарств,1
Похмелье,зорекс; эффералган; аскорбиновая кислота; парацетамол,зорекс; эффералган; аскорбиновая кислота; парацетамол,нет хороших лекарств,3
"Инфекция уха, горла и носа",люголь; стрептоцид; доксициклин; тетрациклин; азитромицин; леволет,люголь; стрептоцид; доксициклин; тетрациклин; азитромицин,нет хороших лекарств,5
"Пигментация, нарушение",бадяга форте,бадяга форте,нет хороших лекарств,5
Чувствительная кожа,бадяга форте,бадяга форте,нет хороших лекарств,5
проблемы с кожей,"базирон ас"" 5%; базирон","базирон ас"" 5%; базирон",нет хороших лекарств,4
Расширенные поры,"базирон ас"" 5%; базирон","базирон ас"" 5%; базирон",нет хороших лекарств,2
Синдром выгорания,валериана; феназепам; эглонил; магнелис,валериана; феназепам; эглонил; магнелис,нет хороших лекарств,2
Нарушение функции печени,диазолин; галстен; протефлазид,диазолин; галстен; протефлазид,нет хороших лекарств,2
Новообразование,изопринозин; леккер-суперчистотело,изопринозин; леккер-суперчистотело,нет хороших лекарств,3
Себорейный кератоз,изопринозин,изопринозин,нет хороших лекарств,5
Гранулема верхушки корня зуба (апикальная гранулема),амоксиклав,амоксиклав,нет хороших лекарств,2
Инфекционно-воспалительное поражение ротовой полости,амоксиклав,амоксиклав,нет хороших лекарств,5
Струп,ацикловир,ацикловир,нет хороших лекарств,3
Операция на головном мозге,почечный сбор; топирамат; топамакс,почечный сбор; топирамат; топамакс,нет хороших лекарств,5
Приступообразная боль,почечный сбор; топирамат; топамакс; фурадонин,почечный сбор; топирамат; топамакс; фурадонин,нет хороших лекарств,5
проблемы с почками,почечный сбор; топирамат; топамакс; уролесан,почечный сбор; топирамат; топамакс; уролесан,нет хороших лекарств,3
Кардиоспазм,барбовал,барбовал,нет хороших лекарств,1
Поражение тройничного нерва,ferrer нуклео ц.м.ф. форте,ferrer нуклео ц.м.ф. форте,нет хороших лекарств,4
Полинейропатия алкогольная,ferrer нуклео ц.м.ф. форте,ferrer нуклео ц.м.ф. форте,нет хороших лекарств,3
Сезонная аллергия,кестина; иберогаст; фенибут,кестина; иберогаст; фенибут,нет хороших лекарств,4
Гипотермия,ацикловир,ацикловир,нет хороших лекарств,3
Дисфемия,фенибут; афобазол; ноофен; нообут ic,фенибут; афобазол; ноофен; нообут ic,ноофен,5
расстройствам нервной системы,валериана; барбовал,валериана; барбовал,нет хороших лекарств,5
Отклонение перегородки носа,фармазолин,фармазолин,нет хороших лекарств,4
Чрезмерное развитие грибковой флоры,бетадин,бетадин,нет хороших лекарств,1
нервишки стали слабенькие,седавит,седавит,нет хороших лекарств,5
Иллюзии,седавит,седавит,нет хороших лекарств,5
падением иммунитета,мильгамма,мильгамма,нет хороших лекарств,4
Акнеформный дерматит,зеркалин; акнекутан; мильгамма,зеркалин; акнекутан; мильгамма,нет хороших лекарств,3
Нарушение терморегуляции,l-тироксин берлин-хеми,l-тироксин берлин-хеми,нет хороших лекарств,2
нервная система немного расшаталась,мелаксен,мелаксен,нет хороших лекарств,1
Введение клизмы,экспортал; листья сенны,экспортал; листья сенны,нет хороших лекарств,1
Сухая кожа,аевит; кандид б; тридерм; мяты перечной,аевит; кандид б; тридерм; мяты перечной,нет хороших лекарств,5
Низкий уровень иммуноглобулинов,ликопид,ликопид,нет хороших лекарств,5
Инфильтраты роговицы,ацикловир; гидрокортизон,ацикловир; гидрокортизон,нет хороших лекарств,1
Гипокинезия,кортексин для детей; кортексин,кортексин для детей; кортексин,нет хороших лекарств,2
Метастаз,кортексин,кортексин,нет хороших лекарств,5
"Артрит, аллергический",виферон,виферон,нет хороших лекарств,4
Нарушение суточного ритма сна,феназепам; мелаксен,феназепам; мелаксен,нет хороших лекарств,5
Нефроптоз,уролесан,уролесан,нет хороших лекарств,3
Нарушение со стороны почек,уролесан,уролесан,нет хороших лекарств,5
